Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams,Release Date,Genre,Broad Genre
Lil Baby ,Please,1,0,117,0,288716,288716,2011/4/16,atl hip hop,Hip Hop
Eminem ,Discombobulated,1,0,175,0,288430,288430,2020/12/18,detroit hip hop,Hip Hop
Marshmello ,Crusade,1,0,151,0,288377,288377,2024/2/2,brostep,Electronic
DJ Snake ,Fuego,1,0,146,0,288302,288302,2006/10/31,edm,Electronic
AJR ,I Won't,1,0,131,0,288229,288229,2012/4/13,pov: indie,Pop
Miley Cyrus ,I Would Die For You,1,0,102,0,288185,288185,2017/9/29,pop,Pop
Joji ,R.I.P.,1,0,141,0,288063,288063,2018/5/11,viral pop,Pop
Joshua Bassett ,Set Me Free,1,0,163,0,287977,287977,2005/8/30,singer-songwriter pop,Pop
Daddy Yankee ,PASATIEMPO,1,0,137,0,287818,287818,2022/3/25,latin hip hop,Hip Hop
Charli XCX ,New Shapes,1,0,110,0,287803,287803,2020/11/20,art pop,Pop
Fitz and The Tantrums ,HandClap,2,0,125,0,158463,287623,2017/7/24,la indie,Pop
Bon Iver ,Faith,1,0,135,0,287610,287610,1998/11/9,chamber pop,Pop
Pusha T ,Open Air,1,0,125,0,287601,287601,2022/4/22,gangster rap,Hip Hop
ILLENIUM ,Heavenly Side,1,0,124,0,287573,287573,2021/7/2,edm,Electronic
Polo G ,No Matter What,1,0,133,0,287572,287572,1994,chicago rap,Hip Hop
Yeat ,Still countin,1,0,129,0,287530,287530,2008/8/28,pluggnb,Hip Hop
2Pac ,Keep Ya Head Up,1,0,86,0,287474,287474,1998/1/1,g funk,Hip Hop
Madvillain ,All Caps,1,0,104,0,287457,287457,2004/3/24,abstract hip hop,Hip Hop
Lil Yachty ,FWM,1,0,130,0,287350,287350,2023/10/19,atl hip hop,Hip Hop
Machine Gun Kelly ,kevin and barracuda  interlude,1,0,136,0,287340,287340,2020/9/25,ohio hip hop,Hip Hop
Meek Mill ,Outside (100 MPH),1,0,106,0,287321,287321,2021/10/1,hip hop,Hip Hop
Young Thug ,Diamonds,1,0,181,0,287266,287266,2012/1/1,atl hip hop,Hip Hop
G,Eazy  Bone Marrow,2,0,168,0,147815,287192,2016/11/25,indie pop rap,Hip Hop
Hozier ,NFWMB,1,0,134,0,287181,287181,2018/9/6,irish singer-songwriter,Folk/Acoustic
Zach Bryan ,Cold Damn Vampires,1,0,165,0,287017,287017,2022/5/20,classic oklahoma country,Country
Ed Sheeran ,Love In Slow Motion,1,0,103,0,286973,286973,2021/10/29,pop,Pop
Zach Bryan ,Younger Years,1,0,166,0,286830,286830,2022/5/20,classic oklahoma country,Country
Kontra K ,Big Bad Wolf,1,0,94,0,286827,286827,2014/11/14,german hip hop,Hip Hop
Myke Towers ,Oh Na Na,1,0,104,0,286760,286760,2023/9/28,reggaeton,Latin
NAV ,Time Piece,1,0,145,0,286702,286702,2014/8/29,canadian hip hop,Hip Hop
Future ,Kno The Meaning,4,0,177,0,79913,286577,2015/7/17,atl hip hop,Hip Hop
Marshmello ,Shockwave,1,0,146,0,286426,286426,2021/6/11,brostep,Electronic
YoungBoy Never Broke Again ,I10 Baby,1,0,102,0,286404,286404,2023/12/20,baton rouge rap,Hip Hop
Gucci Mane ,Gucci Please,2,0,136,0,163305,286364,2016/7/22,atl hip hop,Hip Hop
P!nk ,For Now,1,0,101,0,286154,286154,2022/8/26,dance pop,Pop
Kehlani ,everything,1,0,134,0,286041,286041,1984/10/23,pop,Pop
ZAYN ,BLUE,2,0,117,0,167516,286039,2015/12/4,pop,Pop
Stunna 4 Vegas ,DO DAT,1,0,187,0,286019,286019,2020/1/17,north carolina hip hop,Hip Hop
Zee Avi ,Frosty The Snowman,3,0,84,0,124797,285795,2009/11/3,malaysian pop,Pop
Vince Guaraldi Trio ,Greensleeves,1,0,191,0,285788,285788,2001/1/1,jazz trio,Jazz
